,Mission,Spacecraft,Launch date,Carrier rocket,Operator,Mission type,Outcome
223,Luna 24 (E-8-5M No.413),Entered orbit on 11 August 1976 and landed in Mare Crisium at 16:36 UTC on 18 August. Sample capsule launched at 05:25 UTC on 19 August and recovered 96+1⁄2 hours later.[69] Returned 170.1 grams (6.00 oz) of lunar regolith.[70] Final mission to the Moon from the Soviet Union.,Entered orbit on 11 August 1976 and landed in Mare Crisium at 16:36 UTC on 18 August. Sample capsule launched at 05:25 UTC on 19 August and recovered 96+1⁄2 hours later.[69] Returned 170.1 grams (6.00 oz) of lunar regolith.[70] Final mission to the Moon from the Soviet Union.,Entered orbit on 11 August 1976 and landed in Mare Crisium at 16:36 UTC on 18 August. Sample capsule launched at 05:25 UTC on 19 August and recovered 96+1⁄2 hours later.[69] Returned 170.1 grams (6.00 oz) of lunar regolith.[70] Final mission to the Moon from the Soviet Union.,Entered orbit on 11 August 1976 and landed in Mare Crisium at 16:36 UTC on 18 August. Sample capsule launched at 05:25 UTC on 19 August and recovered 96+1⁄2 hours later.[69] Returned 170.1 grams (6.00 oz) of lunar regolith.[70] Final mission to the Moon from the Soviet Union.,Entered orbit on 11 August 1976 and landed in Mare Crisium at 16:36 UTC on 18 August. Sample capsule launched at 05:25 UTC on 19 August and recovered 96+1⁄2 hours later.[69] Returned 170.1 grams (6.00 oz) of lunar regolith.[70] Final mission to the Moon from the Soviet Union.,Entered orbit on 11 August 1976 and landed in Mare Crisium at 16:36 UTC on 18 August. Sample capsule launched at 05:25 UTC on 19 August and recovered 96+1⁄2 hours later.[69] Returned 170.1 grams (6.00 oz) of lunar regolith.[70] Final mission to the Moon from the Soviet Union.
224,ISEE-3 (ICE/Explorer 59),ISEE-3,12 August 1978,Delta 2914,NASA,Flyby,
225,ISEE-3 (ICE/Explorer 59),Five flybys in 1982 and 1983 en route to comet 21P/Giacobini–Zinner.,Five flybys in 1982 and 1983 en route to comet 21P/Giacobini–Zinner.,Five flybys in 1982 and 1983 en route to comet 21P/Giacobini–Zinner.,Five flybys in 1982 and 1983 en route to comet 21P/Giacobini–Zinner.,Five flybys in 1982 and 1983 en route to comet 21P/Giacobini–Zinner.,Five flybys in 1982 and 1983 en route to comet 21P/Giacobini–Zinner.
226,Hiten (MUSES-A),Hiten,24 January 1990,Mu-3S-II,ISAS,Orbiter,
227,Hiten (MUSES-A),Hagoromo,24 January 1990,Mu-3S-II,ISAS,Orbiter,
228,Hiten (MUSES-A),"Designed for flyby, placed into selenocentric orbit during extended mission after failure of Hagoromo. Deorbited and impacted in USGS quadrangle LQ27 on 10 April 1993.[71] Hagoromo was deployed from Hiten. The impact made Japan the 3rd country to reach the surface of the Moon.","Designed for flyby, placed into selenocentric orbit during extended mission after failure of Hagoromo. Deorbited and impacted in USGS quadrangle LQ27 on 10 April 1993.[71] Hagoromo was deployed from Hiten. The impact made Japan the 3rd country to reach the surface of the Moon.","Designed for flyby, placed into selenocentric orbit during extended mission after failure of Hagoromo. Deorbited and impacted in USGS quadrangle LQ27 on 10 April 1993.[71] Hagoromo was deployed from Hiten. The impact made Japan the 3rd country to reach the surface of the Moon.","Designed for flyby, placed into selenocentric orbit during extended mission after failure of Hagoromo. Deorbited and impacted in USGS quadrangle LQ27 on 10 April 1993.[71] Hagoromo was deployed from Hiten. The impact made Japan the 3rd country to reach the surface of the Moon.","Designed for flyby, placed into selenocentric orbit during extended mission after failure of Hagoromo. Deorbited and impacted in USGS quadrangle LQ27 on 10 April 1993.[71] Hagoromo was deployed from Hiten. The impact made Japan the 3rd country to reach the surface of the Moon.","Designed for flyby, placed into selenocentric orbit during extended mission after failure of Hagoromo. Deorbited and impacted in USGS quadrangle LQ27 on 10 April 1993.[71] Hagoromo was deployed from Hiten. The impact made Japan the 3rd country to reach the surface of the Moon."
229,Geotail,Geotail,24 July 1992,Delta II 6925,ISAS/NASA,Flyby,
230,Geotail,Series of flybys to regulate high Earth orbit.,Series of flybys to regulate high Earth orbit.,Series of flybys to regulate high Earth orbit.,Series of flybys to regulate high Earth orbit.,Series of flybys to regulate high Earth orbit.,Series of flybys to regulate high Earth orbit.
231,WIND,WIND,1 November 1994,Delta II 7925-10,NASA,Flyby,
232,WIND,Made two flybys on 1 December 1994 and 27 December 1994 to reach the Earth–Sun L1 Lagrangian point.,Made two flybys on 1 December 1994 and 27 December 1994 to reach the Earth–Sun L1 Lagrangian point.,Made two flybys on 1 December 1994 and 27 December 1994 to reach the Earth–Sun L1 Lagrangian point.,Made two flybys on 1 December 1994 and 27 December 1994 to reach the Earth–Sun L1 Lagrangian point.,Made two flybys on 1 December 1994 and 27 December 1994 to reach the Earth–Sun L1 Lagrangian point.,Made two flybys on 1 December 1994 and 27 December 1994 to reach the Earth–Sun L1 Lagrangian point.
233,Clementine (DSPSE),Clementine,25 January 1994,Titan II (23)G Star-37FM,USAF/NASA,Orbiter,
234,Clementine (DSPSE),Completed Lunar objectives successfully; failed following departure from selenocentric orbit.,Completed Lunar objectives successfully; failed following departure from selenocentric orbit.,Completed Lunar objectives successfully; failed following departure from selenocentric orbit.,Completed Lunar objectives successfully; failed following departure from selenocentric orbit.,Completed Lunar objectives successfully; failed following departure from selenocentric orbit.,Completed Lunar objectives successfully; failed following departure from selenocentric orbit.
235,HGS-1,HGS-1,24 December 1997,Proton-K/DM3,Hughes,Flyby,
236,HGS-1,Communications satellite; made two flybys in May and June 1998 en route to geosynchronous orbit after delivery into wrong orbit.,Communications satellite; made two flybys in May and June 1998 en route to geosynchronous orbit after delivery into wrong orbit.,Communications satellite; made two flybys in May and June 1998 en route to geosynchronous orbit after delivery into wrong orbit.,Communications satellite; made two flybys in May and June 1998 en route to geosynchronous orbit after delivery into wrong orbit.,Communications satellite; made two flybys in May and June 1998 en route to geosynchronous orbit after delivery into wrong orbit.,Communications satellite; made two flybys in May and June 1998 en route to geosynchronous orbit after delivery into wrong orbit.
237,Lunar Prospector (Discovery 3),Lunar Prospector,7 January 1998,Athena II,NASA,Orbiter,
238,Lunar Prospector (Discovery 3),"The mission ended on July 31, 1999","The mission ended on July 31, 1999","The mission ended on July 31, 1999","The mission ended on July 31, 1999","The mission ended on July 31, 1999","The mission ended on July 31, 1999"
239,Nozomi (PLANET-B),Nozomi,3 July 1998,M-V,ISAS,Flyby,
240,Nozomi (PLANET-B),Two flybys en route to Mars.,Two flybys en route to Mars.,Two flybys en route to Mars.,Two flybys en route to Mars.,Two flybys en route to Mars.,Two flybys en route to Mars.
241,WMAP,WMAP,30 June 2001,Delta II 7425-10,NASA,Flyby,
242,WMAP,Flyby on 30 July 2001 to reach the Earth–Sun L2 Lagrangian point.,Flyby on 30 July 2001 to reach the Earth–Sun L2 Lagrangian point.,Flyby on 30 July 2001 to reach the Earth–Sun L2 Lagrangian point.,Flyby on 30 July 2001 to reach the Earth–Sun L2 Lagrangian point.,Flyby on 30 July 2001 to reach the Earth–Sun L2 Lagrangian point.,Flyby on 30 July 2001 to reach the Earth–Sun L2 Lagrangian point.
243,SMART-1,SMART-1,27 September 2003,Ariane 5G,ESA,Orbiter,
244,SMART-1,Impacted Moon in USGS quadrangle LQ26 at end of mission on 3 September 2006. The impact made ESA member states the 4th to reach the surface of the Moon.,Impacted Moon in USGS quadrangle LQ26 at end of mission on 3 September 2006. The impact made ESA member states the 4th to reach the surface of the Moon.,Impacted Moon in USGS quadrangle LQ26 at end of mission on 3 September 2006. The impact made ESA member states the 4th to reach the surface of the Moon.,Impacted Moon in USGS quadrangle LQ26 at end of mission on 3 September 2006. The impact made ESA member states the 4th to reach the surface of the Moon.,Impacted Moon in USGS quadrangle LQ26 at end of mission on 3 September 2006. The impact made ESA member states the 4th to reach the surface of the Moon.,Impacted Moon in USGS quadrangle LQ26 at end of mission on 3 September 2006. The impact made ESA member states the 4th to reach the surface of the Moon.
245,STEREO,STEREO A,25 October 2006,Delta II 7925-10L,NASA,Flyby,
246,STEREO,STEREO B,25 October 2006,Delta II 7925-10L,NASA,Flyby,
247,STEREO,Both component spacecraft entered heliocentric orbit on 15 December 2006.,Both component spacecraft entered heliocentric orbit on 15 December 2006.,Both component spacecraft entered heliocentric orbit on 15 December 2006.,Both component spacecraft entered heliocentric orbit on 15 December 2006.,Both component spacecraft entered heliocentric orbit on 15 December 2006.,Both component spacecraft entered heliocentric orbit on 15 December 2006.
248,ARTEMIS,ARTEMIS P1,17 February 2007,Delta II 7925,NASA,Orbiter,Operational
249,ARTEMIS,ARTEMIS P2,17 February 2007,Delta II 7925,NASA,Orbiter,Operational
250,ARTEMIS,Two THEMIS spacecraft moved to selenocentric orbit for extended mission; entered orbit July 2011.,Two THEMIS spacecraft moved to selenocentric orbit for extended mission; entered orbit July 2011.,Two THEMIS spacecraft moved to selenocentric orbit for extended mission; entered orbit July 2011.,Two THEMIS spacecraft moved to selenocentric orbit for extended mission; entered orbit July 2011.,Two THEMIS spacecraft moved to selenocentric orbit for extended mission; entered orbit July 2011.,Two THEMIS spacecraft moved to selenocentric orbit for extended mission; entered orbit July 2011.
251,SELENE,Kaguya,14 September 2007,H-IIA 2022,JAXA,Orbiter,
252,SELENE,Okina,14 September 2007,H-IIA 2022,JAXA,Orbiter,
253,SELENE,Ouna,14 September 2007,H-IIA 2022,JAXA,Orbiter,
254,SELENE,Deployed Okina and Ouna satellites. Kaguya and Okina impacted the Moon at end of mission.[72] Ouna completed operations on 29 June 2009[73] but remains in selenocentric orbit.,Deployed Okina and Ouna satellites. Kaguya and Okina impacted the Moon at end of mission.[72] Ouna completed operations on 29 June 2009[73] but remains in selenocentric orbit.,Deployed Okina and Ouna satellites. Kaguya and Okina impacted the Moon at end of mission.[72] Ouna completed operations on 29 June 2009[73] but remains in selenocentric orbit.,Deployed Okina and Ouna satellites. Kaguya and Okina impacted the Moon at end of mission.[72] Ouna completed operations on 29 June 2009[73] but remains in selenocentric orbit.,Deployed Okina and Ouna satellites. Kaguya and Okina impacted the Moon at end of mission.[72] Ouna completed operations on 29 June 2009[73] but remains in selenocentric orbit.,Deployed Okina and Ouna satellites. Kaguya and Okina impacted the Moon at end of mission.[72] Ouna completed operations on 29 June 2009[73] but remains in selenocentric orbit.
255,Chang'e 1,Chang'e 1,24 October 2007,Long March 3A,CNSA,Orbiter,
256,Chang'e 1,"Impacted Moon in USGS quadrangle LQ21 on 1 March 2009, at end of mission. The impact made China the 6th country to reach the surface of the Moon.","Impacted Moon in USGS quadrangle LQ21 on 1 March 2009, at end of mission. The impact made China the 6th country to reach the surface of the Moon.","Impacted Moon in USGS quadrangle LQ21 on 1 March 2009, at end of mission. The impact made China the 6th country to reach the surface of the Moon.","Impacted Moon in USGS quadrangle LQ21 on 1 March 2009, at end of mission. The impact made China the 6th country to reach the surface of the Moon.","Impacted Moon in USGS quadrangle LQ21 on 1 March 2009, at end of mission. The impact made China the 6th country to reach the surface of the Moon.","Impacted Moon in USGS quadrangle LQ21 on 1 March 2009, at end of mission. The impact made China the 6th country to reach the surface of the Moon."
257,Chandrayaan-1,Chandrayaan-1,22 October 2008,PSLV-XL C11,ISRO,Orbiter,
258,Chandrayaan-1,Moon Impact Probe,22 October 2008,PSLV-XL C11,ISRO,Impactor,
259,Chandrayaan-1,"Succeeded through mission. Orbit lasted 312 days, short of intended 2 years; However mission achieved most of its intended objectives. Terminated in 2009, remains in selenocentric orbit; discovered water ice on the Moon.[74] Moon Impact Probe was deployed from the orbiter. It successfully impacted Moon's Shackleton Crater in the USGS quadrangle LQ30 at 20:31 on 14 November 2008 releasing underground debris that could be analyzed by the orbiter for presence of water/ice. With this mission, India became the first to impact the Lunar south pole and the 5th nation to reach the lunar surface.","Succeeded through mission. Orbit lasted 312 days, short of intended 2 years; However mission achieved most of its intended objectives. Terminated in 2009, remains in selenocentric orbit; discovered water ice on the Moon.[74] Moon Impact Probe was deployed from the orbiter. It successfully impacted Moon's Shackleton Crater in the USGS quadrangle LQ30 at 20:31 on 14 November 2008 releasing underground debris that could be analyzed by the orbiter for presence of water/ice. With this mission, India became the first to impact the Lunar south pole and the 5th nation to reach the lunar surface.","Succeeded through mission. Orbit lasted 312 days, short of intended 2 years; However mission achieved most of its intended objectives. Terminated in 2009, remains in selenocentric orbit; discovered water ice on the Moon.[74] Moon Impact Probe was deployed from the orbiter. It successfully impacted Moon's Shackleton Crater in the USGS quadrangle LQ30 at 20:31 on 14 November 2008 releasing underground debris that could be analyzed by the orbiter for presence of water/ice. With this mission, India became the first to impact the Lunar south pole and the 5th nation to reach the lunar surface.","Succeeded through mission. Orbit lasted 312 days, short of intended 2 years; However mission achieved most of its intended objectives. Terminated in 2009, remains in selenocentric orbit; discovered water ice on the Moon.[74] Moon Impact Probe was deployed from the orbiter. It successfully impacted Moon's Shackleton Crater in the USGS quadrangle LQ30 at 20:31 on 14 November 2008 releasing underground debris that could be analyzed by the orbiter for presence of water/ice. With this mission, India became the first to impact the Lunar south pole and the 5th nation to reach the lunar surface.","Succeeded through mission. Orbit lasted 312 days, short of intended 2 years; However mission achieved most of its intended objectives. Terminated in 2009, remains in selenocentric orbit; discovered water ice on the Moon.[74] Moon Impact Probe was deployed from the orbiter. It successfully impacted Moon's Shackleton Crater in the USGS quadrangle LQ30 at 20:31 on 14 November 2008 releasing underground debris that could be analyzed by the orbiter for presence of water/ice. With this mission, India became the first to impact the Lunar south pole and the 5th nation to reach the lunar surface.","Succeeded through mission. Orbit lasted 312 days, short of intended 2 years; However mission achieved most of its intended objectives. Terminated in 2009, remains in selenocentric orbit; discovered water ice on the Moon.[74] Moon Impact Probe was deployed from the orbiter. It successfully impacted Moon's Shackleton Crater in the USGS quadrangle LQ30 at 20:31 on 14 November 2008 releasing underground debris that could be analyzed by the orbiter for presence of water/ice. With this mission, India became the first to impact the Lunar south pole and the 5th nation to reach the lunar surface."
260,Lunar Reconnaissance Orbiter,Lunar Reconnaissance Orbiter,18 June 2009,Atlas V 401,NASA,Orbiter,Operational
261,Lunar Reconnaissance Orbiter,"Entered orbit on June 23, 2009","Entered orbit on June 23, 2009","Entered orbit on June 23, 2009","Entered orbit on June 23, 2009","Entered orbit on June 23, 2009","Entered orbit on June 23, 2009"
262,LCROSS,LCROSS,18 June 2009,Atlas V 401,NASA,Impactor,
263,LCROSS,"Observed impact of Centaur upper stage that launched it and LRO, then impacted itself. Impacts in USGS quadrangle LQ30.","Observed impact of Centaur upper stage that launched it and LRO, then impacted itself. Impacts in USGS quadrangle LQ30.","Observed impact of Centaur upper stage that launched it and LRO, then impacted itself. Impacts in USGS quadrangle LQ30.","Observed impact of Centaur upper stage that launched it and LRO, then impacted itself. Impacts in USGS quadrangle LQ30.","Observed impact of Centaur upper stage that launched it and LRO, then impacted itself. Impacts in USGS quadrangle LQ30.","Observed impact of Centaur upper stage that launched it and LRO, then impacted itself. Impacts in USGS quadrangle LQ30."
264,Chang'e 2,Chang'e 2,1 October 2010,Long March 3C,CNSA,Orbiter,
265,Chang'e 2,"Following completion of six month Lunar mission, departed selenocentric orbit for Earth–Sun L2 Lagrangian point;[75] subsequently flew by asteroid 4179 Toutatis.[76]","Following completion of six month Lunar mission, departed selenocentric orbit for Earth–Sun L2 Lagrangian point;[75] subsequently flew by asteroid 4179 Toutatis.[76]","Following completion of six month Lunar mission, departed selenocentric orbit for Earth–Sun L2 Lagrangian point;[75] subsequently flew by asteroid 4179 Toutatis.[76]","Following completion of six month Lunar mission, departed selenocentric orbit for Earth–Sun L2 Lagrangian point;[75] subsequently flew by asteroid 4179 Toutatis.[76]","Following completion of six month Lunar mission, departed selenocentric orbit for Earth–Sun L2 Lagrangian point;[75] subsequently flew by asteroid 4179 Toutatis.[76]","Following completion of six month Lunar mission, departed selenocentric orbit for Earth–Sun L2 Lagrangian point;[75] subsequently flew by asteroid 4179 Toutatis.[76]"
266,GRAIL,Ebb (GRAIL-A),10 September 2011[77][78],Delta II 7920H,NASA,Orbiter,
267,GRAIL,Flow (GRAIL-B),10 September 2011[77][78],Delta II 7920H,NASA,Orbiter,
268,GRAIL,Impacted the Moon in USGS quadrangle LQ01 on 17 December 2012 at end of mission.[79],Impacted the Moon in USGS quadrangle LQ01 on 17 December 2012 at end of mission.[79],Impacted the Moon in USGS quadrangle LQ01 on 17 December 2012 at end of mission.[79],Impacted the Moon in USGS quadrangle LQ01 on 17 December 2012 at end of mission.[79],Impacted the Moon in USGS quadrangle LQ01 on 17 December 2012 at end of mission.[79],Impacted the Moon in USGS quadrangle LQ01 on 17 December 2012 at end of mission.[79]
269,LADEE,LADEE,7 September 2013,Minotaur V,NASA,Orbiter,
270,LADEE,"Mission ended on 18 April 2014, when the spacecraft's controllers intentionally crashed LADEE into the far side of the Moon.","Mission ended on 18 April 2014, when the spacecraft's controllers intentionally crashed LADEE into the far side of the Moon.","Mission ended on 18 April 2014, when the spacecraft's controllers intentionally crashed LADEE into the far side of the Moon.","Mission ended on 18 April 2014, when the spacecraft's controllers intentionally crashed LADEE into the far side of the Moon.","Mission ended on 18 April 2014, when the spacecraft's controllers intentionally crashed LADEE into the far side of the Moon.","Mission ended on 18 April 2014, when the spacecraft's controllers intentionally crashed LADEE into the far side of the Moon."
271,Chang'e 3,Chang'e 3,1 December 2013,Long March 3B,CNSA,Lander,Operational
272,Chang'e 3,Yutu,1 December 2013,Long March 3B,CNSA,Rover,
273,Chang'e 3,Entered orbit on 6 December 2013 with landing at 13:12 UTC on 14 December. Yutu rover was deployed from Chang'e 3.,Entered orbit on 6 December 2013 with landing at 13:12 UTC on 14 December. Yutu rover was deployed from Chang'e 3.,Entered orbit on 6 December 2013 with landing at 13:12 UTC on 14 December. Yutu rover was deployed from Chang'e 3.,Entered orbit on 6 December 2013 with landing at 13:12 UTC on 14 December. Yutu rover was deployed from Chang'e 3.,Entered orbit on 6 December 2013 with landing at 13:12 UTC on 14 December. Yutu rover was deployed from Chang'e 3.,Entered orbit on 6 December 2013 with landing at 13:12 UTC on 14 December. Yutu rover was deployed from Chang'e 3.
274,Chang'e 5-T1,Chang'e 5-T1,23 October 2014,Long March 3C,CNSA,Orbiter,
275,Chang'e 5-T1,Chang'e 5-T1 Return Capsule,23 October 2014,Long March 3C,CNSA,Orbiter,
276,Chang'e 5-T1,Demonstration of re-entry capsule for Chang'e 5 sample-return mission at lunar return velocity.,Demonstration of re-entry capsule for Chang'e 5 sample-return mission at lunar return velocity.,Demonstration of re-entry capsule for Chang'e 5 sample-return mission at lunar return velocity.,Demonstration of re-entry capsule for Chang'e 5 sample-return mission at lunar return velocity.,Demonstration of re-entry capsule for Chang'e 5 sample-return mission at lunar return velocity.,Demonstration of re-entry capsule for Chang'e 5 sample-return mission at lunar return velocity.
277,Manfred Memorial Moon Mission,Manfred Memorial Moon Mission,23 October 2014,Long March 3C,LuxSpace,Flyby / Impactor (post mission),
278,Manfred Memorial Moon Mission,Attached to third stage of CZ-3C used to launch Chang'e 5-T1. Impacted the Moon on 4 March 2022. The impact made Luxembourg the 8th country to reach the surface of the Moon.,Attached to third stage of CZ-3C used to launch Chang'e 5-T1. Impacted the Moon on 4 March 2022. The impact made Luxembourg the 8th country to reach the surface of the Moon.,Attached to third stage of CZ-3C used to launch Chang'e 5-T1. Impacted the Moon on 4 March 2022. The impact made Luxembourg the 8th country to reach the surface of the Moon.,Attached to third stage of CZ-3C used to launch Chang'e 5-T1. Impacted the Moon on 4 March 2022. The impact made Luxembourg the 8th country to reach the surface of the Moon.,Attached to third stage of CZ-3C used to launch Chang'e 5-T1. Impacted the Moon on 4 March 2022. The impact made Luxembourg the 8th country to reach the surface of the Moon.,Attached to third stage of CZ-3C used to launch Chang'e 5-T1. Impacted the Moon on 4 March 2022. The impact made Luxembourg the 8th country to reach the surface of the Moon.
279,TESS,TESS,18 April 2018,Falcon 9 Full Thrust,NASA,Flyby,
280,TESS,Flyby on 17 May 2018 to designated high Earth orbit.[80],Flyby on 17 May 2018 to designated high Earth orbit.[80],Flyby on 17 May 2018 to designated high Earth orbit.[80],Flyby on 17 May 2018 to designated high Earth orbit.[80],Flyby on 17 May 2018 to designated high Earth orbit.[80],Flyby on 17 May 2018 to designated high Earth orbit.[80]
281,Queqiao,Queqiao relay satellite,21 May 2018,Long March 4C,CNSA,Relay Satellite,Operational
282,Queqiao,Entered designated Earth–Moon L2 orbit on 14 June in preparation of Chang'e 4 far-side lunar lander in December 2018.,Entered designated Earth–Moon L2 orbit on 14 June in preparation of Chang'e 4 far-side lunar lander in December 2018.,Entered designated Earth–Moon L2 orbit on 14 June in preparation of Chang'e 4 far-side lunar lander in December 2018.,Entered designated Earth–Moon L2 orbit on 14 June in preparation of Chang'e 4 far-side lunar lander in December 2018.,Entered designated Earth–Moon L2 orbit on 14 June in preparation of Chang'e 4 far-side lunar lander in December 2018.,Entered designated Earth–Moon L2 orbit on 14 June in preparation of Chang'e 4 far-side lunar lander in December 2018.
283,Longjiang,Longjiang-1,21 May 2018,Long March 4C,CNSA,Orbiter,
284,Longjiang,Longjiang-2,21 May 2018,Long March 4C,CNSA,Orbiter,
285,Longjiang,"Launched on the same rocket as Queqiao. Longjiang-1 never entered Moon orbit,[81] while Longjiang-2 operated in lunar orbit until 31 July 2019, when it impacted the lunar surface.[82]","Launched on the same rocket as Queqiao. Longjiang-1 never entered Moon orbit,[81] while Longjiang-2 operated in lunar orbit until 31 July 2019, when it impacted the lunar surface.[82]","Launched on the same rocket as Queqiao. Longjiang-1 never entered Moon orbit,[81] while Longjiang-2 operated in lunar orbit until 31 July 2019, when it impacted the lunar surface.[82]","Launched on the same rocket as Queqiao. Longjiang-1 never entered Moon orbit,[81] while Longjiang-2 operated in lunar orbit until 31 July 2019, when it impacted the lunar surface.[82]","Launched on the same rocket as Queqiao. Longjiang-1 never entered Moon orbit,[81] while Longjiang-2 operated in lunar orbit until 31 July 2019, when it impacted the lunar surface.[82]","Launched on the same rocket as Queqiao. Longjiang-1 never entered Moon orbit,[81] while Longjiang-2 operated in lunar orbit until 31 July 2019, when it impacted the lunar surface.[82]"
286,Chang'e 4,Chang'e 4,7 December 2018,Long March 3B,CNSA,Lander,Operational
287,Chang'e 4,'Yutu-2,7 December 2018,Long March 3B,CNSA,Rover,Operational
288,Chang'e 4,First spacecraft to soft land on the far side of the Moon (South Pole–Aitken basin). Landed 3 January 2019 and deployed the Yutu-2 rover.[83][84],First spacecraft to soft land on the far side of the Moon (South Pole–Aitken basin). Landed 3 January 2019 and deployed the Yutu-2 rover.[83][84],First spacecraft to soft land on the far side of the Moon (South Pole–Aitken basin). Landed 3 January 2019 and deployed the Yutu-2 rover.[83][84],First spacecraft to soft land on the far side of the Moon (South Pole–Aitken basin). Landed 3 January 2019 and deployed the Yutu-2 rover.[83][84],First spacecraft to soft land on the far side of the Moon (South Pole–Aitken basin). Landed 3 January 2019 and deployed the Yutu-2 rover.[83][84],First spacecraft to soft land on the far side of the Moon (South Pole–Aitken basin). Landed 3 January 2019 and deployed the Yutu-2 rover.[83][84]
289,Beresheet,Beresheet,22 February 2019,Falcon 9,SpaceIL,Lander,
290,Beresheet,First Israeli and first privately funded lunar lander mission. Technology demonstration. Instrumentation included a magnetometer and laser retroreflector.[85][86] Spacecraft crashed into the lunar surface after main engine failure during descent from lunar orbit phase.[87] The impact made Israel the 7th country to reach the surface of the Moon.,First Israeli and first privately funded lunar lander mission. Technology demonstration. Instrumentation included a magnetometer and laser retroreflector.[85][86] Spacecraft crashed into the lunar surface after main engine failure during descent from lunar orbit phase.[87] The impact made Israel the 7th country to reach the surface of the Moon.,First Israeli and first privately funded lunar lander mission. Technology demonstration. Instrumentation included a magnetometer and laser retroreflector.[85][86] Spacecraft crashed into the lunar surface after main engine failure during descent from lunar orbit phase.[87] The impact made Israel the 7th country to reach the surface of the Moon.,First Israeli and first privately funded lunar lander mission. Technology demonstration. Instrumentation included a magnetometer and laser retroreflector.[85][86] Spacecraft crashed into the lunar surface after main engine failure during descent from lunar orbit phase.[87] The impact made Israel the 7th country to reach the surface of the Moon.,First Israeli and first privately funded lunar lander mission. Technology demonstration. Instrumentation included a magnetometer and laser retroreflector.[85][86] Spacecraft crashed into the lunar surface after main engine failure during descent from lunar orbit phase.[87] The impact made Israel the 7th country to reach the surface of the Moon.,First Israeli and first privately funded lunar lander mission. Technology demonstration. Instrumentation included a magnetometer and laser retroreflector.[85][86] Spacecraft crashed into the lunar surface after main engine failure during descent from lunar orbit phase.[87] The impact made Israel the 7th country to reach the surface of the Moon.
291,Chandrayaan-2,Chandrayaan-2 Orbiter,22 July 2019,LVM3 M1,ISRO,Orbiter,Operational
292,Chandrayaan-2,Vikram,22 July 2019,LVM3 M1,ISRO,Lander,
293,Chandrayaan-2,Pragyan,22 July 2019,LVM3 M1,ISRO,Rover,
294,Chandrayaan-2,"Entered orbit on 20 August 2019. Lander separated from orbiter but crashed during a landing attempt on 6 September 2019, attributed to a software glitch. Both lander and rover were lost. Orbiter remained operational.[88]","Entered orbit on 20 August 2019. Lander separated from orbiter but crashed during a landing attempt on 6 September 2019, attributed to a software glitch. Both lander and rover were lost. Orbiter remained operational.[88]","Entered orbit on 20 August 2019. Lander separated from orbiter but crashed during a landing attempt on 6 September 2019, attributed to a software glitch. Both lander and rover were lost. Orbiter remained operational.[88]","Entered orbit on 20 August 2019. Lander separated from orbiter but crashed during a landing attempt on 6 September 2019, attributed to a software glitch. Both lander and rover were lost. Orbiter remained operational.[88]","Entered orbit on 20 August 2019. Lander separated from orbiter but crashed during a landing attempt on 6 September 2019, attributed to a software glitch. Both lander and rover were lost. Orbiter remained operational.[88]","Entered orbit on 20 August 2019. Lander separated from orbiter but crashed during a landing attempt on 6 September 2019, attributed to a software glitch. Both lander and rover were lost. Orbiter remained operational.[88]"
295,Chang'e 5,Chang'e 5 Orbiter,23 November 2020,Long March 5,CNSA,Orbiter,Operational
296,Chang'e 5,Chang'e 5 Lander,23 November 2020,Long March 5,CNSA,Lander,
297,Chang'e 5,Chang'e 5 Ascender,23 November 2020,Long March 5,CNSA,Launch Vehicle,
298,Chang'e 5,Chang'e 5 Returner,23 November 2020,Long March 5,CNSA,Sample Return,
299,Chang'e 5,"First lunar sample return mission from China, which returned 1.731 kg (61.1 oz) of lunar samples on 16 December 2020. The orbiter received a mission extension and is currently in a distant retrograde orbit (DRO) of the Moon.[89]","First lunar sample return mission from China, which returned 1.731 kg (61.1 oz) of lunar samples on 16 December 2020. The orbiter received a mission extension and is currently in a distant retrograde orbit (DRO) of the Moon.[89]","First lunar sample return mission from China, which returned 1.731 kg (61.1 oz) of lunar samples on 16 December 2020. The orbiter received a mission extension and is currently in a distant retrograde orbit (DRO) of the Moon.[89]","First lunar sample return mission from China, which returned 1.731 kg (61.1 oz) of lunar samples on 16 December 2020. The orbiter received a mission extension and is currently in a distant retrograde orbit (DRO) of the Moon.[89]","First lunar sample return mission from China, which returned 1.731 kg (61.1 oz) of lunar samples on 16 December 2020. The orbiter received a mission extension and is currently in a distant retrograde orbit (DRO) of the Moon.[89]","First lunar sample return mission from China, which returned 1.731 kg (61.1 oz) of lunar samples on 16 December 2020. The orbiter received a mission extension and is currently in a distant retrograde orbit (DRO) of the Moon.[89]"
300,CAPSTONE,CAPSTONE,28 June 2022[90],Electron,NASA,Orbiter,Operational
301,CAPSTONE,Lunar orbiting CubeSat that will test and verify the calculated orbital stability planned for the Gateway space station.,Lunar orbiting CubeSat that will test and verify the calculated orbital stability planned for the Gateway space station.,Lunar orbiting CubeSat that will test and verify the calculated orbital stability planned for the Gateway space station.,Lunar orbiting CubeSat that will test and verify the calculated orbital stability planned for the Gateway space station.,Lunar orbiting CubeSat that will test and verify the calculated orbital stability planned for the Gateway space station.,Lunar orbiting CubeSat that will test and verify the calculated orbital stability planned for the Gateway space station.
